year,month,day,hour,minute,second,latitude,longitude,depth,mi,mb,ms,mw,intensity
1907,4,18,20,59,48,14,123,33,,,7.6,,
1919,3,21,10,2,23,13,123,50,,,6.5,,
1922,4,3,22,51,33.9,13.82,119.91,68,,,5,,
1925,5,25,3,43,6,12.5,122.5,33,,,6.3,,
1927,4,13,14,34,37,16.1,120.5,140,,,6.3,,
1927,4,19,17,30,10,16,120,100,,,6.7,,
1928,6,15,6,12,39,12.5,121.5,33,,,7,,
1928,9,5,14,41,56,16.1,119.5,33,,,6.3,,
1932,7,18,5,2,5,14,120,100,,,6,,
1933,3,3,2,19,38,15.5,120.1,120,,,6.5,,
1933,6,6,2,28,22,14,120,33,,,6.3,,
1933,9,20,23,33,40,13,121,100,,,6.5,,
1934,7,31,5,58,34,15.1,119.7,33,,,5.6,,
1934,11,26,12,9,24,14.2,120.2,33,,,6.3,,
1935,2,7,17,29,2,13.5,122.7,33,,,6,,
1936,5,20,0,16,1,13.5,121.5,160,,,6,,
1937,8,20,11,59,16,14.5,121.5,33,,,7.5,,
1939,5,6,17,0,7,13.5,121.3,110,,,6.5,,
1940,3,28,15,48,50,14.2,120.6,160,,,6.8,,
1941,5,9,5,32,40,14.2,122.1,33,,,6.8,,
1942,4,8,15,40,24,13.2,120.6,33,,,7.7,,
1956,7,19,20,40,54,15.1,120.5,33,,,5.7,,
1956,10,23,8,41,22,13.5,120.5,100,,,6.7,,
1958,8,24,16,54,25,14,121,150,,,5.7,,
1959,7,18,19,54,57,15.5,120.5,150,,,6.6,,
1960,5,21,8,17,1,15.5,121.5,33,,5,,,
1960,8,31,17,21,57,12.8,119.9,24,,5.4,,,
1960,9,19,3,58,51.4,16,120,25,,5.5,,,
1961,2,26,21,1,5,15.5,121.1,32,,6.1,,,
1961,6,19,1,45,28,13.1,121.5,56,,5.7,,,TABLAS RF6; ROMBLON RF5; ROXAS RF3; ALABAT RF2
1961,7,15,0,17,46,13.23,120.58,60,,5.7,,,
1962,11,27,12,7,14,14.9,120.2,45,,5.1,,,
1962,12,21,10,30,45,15.9,121.8,33,,5,,,
1963,2,25,23,45,21,15.58,121.49,61,,5.5,,,
1963,5,17,6,9,21,15.69,120.13,99,,5.6,,,
1964,6,22,21,23,35.5,13.67,120.55,72,,5.1,,,
1964,7,9,5,47,9,15.36,119.67,48,,5.3,,,
1964,11,1,5,15,48.7,13.73,120.64,96,,4.9,,,
1964,11,30,6,25,16.3,13.8,120.8,207,,5,,,
1965,1,13,15,4,27.4,15.8,119.7,20,,4.9,,,
1965,8,13,2,13,14.1,13.57,120.06,36,,5.2,,,
1965,8,15,4,44,25.3,13.84,120.54,51,,4.9,,,
1965,9,10,2,53,26.2,13.96,120.87,149,,5,,,
1965,10,2,19,58,28.3,14.9,119.9,42,,4.9,,,
1966,1,10,1,19,11.9,13.81,120.72,133,,5.3,,,
1966,8,15,2,45,34,13.28,121.36,24,,5.5,,,
1966,8,28,18,56,19.2,13.73,120.84,114,,5,,,
