"code","long_name","type","long","lat"
"ABPP","Abucay, Bataan","STSS","14.72131","120.53487"
"ABRA","Dolores, Abra","STSS","17.64905","120.70863"
"AIQP","Alabat Island, Quezon","STSS","14.11667","122.05"
"APYP","Conner, Apayao","STSS","17.74953","121.3053"
"AUQP","San Andres, Quezon","STSS","13.3235","122.67745"
"BALP","Baler, Aurora","STSS","15.73449","121.58603"
"BATP","Brooke's Point, Palawan","STSS","8.7736","117.83898"
"BBPS","Basco, Batanes","STSS","20.5","121.9"
"BESP","Borongan, Eastern Samar","STSS","11.60858","125.43533"
"BLNP","Bacolod, Lanao del Norte","STSS","8.19008","124.02399"
"BOAC","Boac, Marinduque","STSS","13.44692","121.8416"
"BOLP","Bolinao, Pangasinan","STSS","16.41653","119.85935"
"BTTP","Bongao, Tawi-Tawi","STSS","5.02897","119.77131"
"BUKP","Valencia, Bukidnon","STSS","7.90288","125.0898"
"BUSP","Busuanga, Palawan","STSS","12.13321","119.93614"
"BUTP","Butuan City, Agusan Del Norte","STSS","8.94459","125.50289"
"CAAP","Casiguran, Aurora","STSS","16.27704","122.12333"
"CADP","Cadiz City, Negros Occidental","STSS","10.95665","123.3057"
"CAUP","Cauayan, Isabela","STSS","16.9335","121.77439"
"CDOP","Cateel, Davao Oriental","STSS","7.81008","126.39849"
"CICP","Calayan Island, Cagayan","STSS","19.3185","121.45683"
"CNOP","Candoni, Negros Occidental","STSS","9.83068","122.64296"
"CNPS","Catarman, Northern Samar","STSS","12.49526","124.64014"
"CUYO","Cuyo, Palawan","STSS","10.84868","121.01379"
"DACP","Dalagueta, Cebu","STSS","9.7612","123.5349"
"DDMP","Don Marcelino, Davao del Sur","STSS","6.15943","125.71991"
"ENPP","El Nido, Palawan","STSS","11.18001","119.39048"
"GHBP","Garcia Hernandez, Bohol","STSS","9.61379","124.29572"
"GLSP","General Luna, Surgiao del Norte","STSS","9.79809","126.12725"
"GNOP","Guihulngan City","STSS","10.1196","123.27387"
"GNQP","General Nakar, Quezon","STSS","14.94482","121.5182"
"GUIM","Jordan, Guimaras","STSS","10.66117","122.59096"
"IBZP","Iba, Zambales","STSS","15.32646","119.9801"
"IPIL","Ipil, Zamboanga Sibugay","STSS","7.78282","122.58689"
"JCNP","Jose Panganiban, Camarines Norte","STSS","14.2899","122.69177"
"LBLP","Los Baños, Laguna","STSS","14.15478","121.22271"
"LCVP","Laak, Compostela Valley","STSS","7.81641","125.79082"
"LDIP","Loreto, Dinagat Islands","STSS","10.35925","125.57937"
"LSIP","Lazi, Siquijor","STSS","9.07102","123.6191"
"LUBP","Lubang, Occidental Mindoro","STSS","13.85914","120.12292"
"MACP","Maragondon, Cavite","STSS","14.27376","120.7362"
"MARP","Marawi City, Lanao del Sur","STSS","8.00462","124.2854"
"MATI","Mati City, Davao Oriental","STSS","6.61001","126.2676"
"MECP","Medellin, Cebu","STSS","11.12766","123.96216"
"MSLP","Maasin, Sourthern Leyte","STSS","10.1654","124.8403"
"OCLP","Ormoc City, Leyte","STSS","11.00465","124.60888"
"OTRP","Odiongan, Romblon","STSS","12.42265","121.97134"
"PACP","Pampalona, Cagayan","STSS","18.4266","121.3313"
"PAGZ","Pagadian City, Zambaonga del Sur","STSS","7.8397","123.4343"
"PAKP","Pakil, Laguna","STSS","14.38933","121.49645"
"PALP","Palanan, Isabela","STSS","17.06287","122.42927"
"PICP","Pikit, Cotobato","STSS","7.0531","124.6193"
"POLP","Polillo, Quezon","STSS","14.71446","121.93809"
"PVCP","Virac, Catanduanes","STSS","13.58082","124.23106"
"RTBP","Doña Remedios Trinidas, Bulacan","STSS","15.11427","121.21685"
"SAMP","Sagada, Mountain Province","STSS","17.08521","120.89898"
"SCSP","San Jose, Camarines Sur","STSS","13.69817","123.51813"
